District,Month,Visitors,Year
Khammam,March,5678,2020
Khammam,April,9123,2021
Khammam,May,3456,2021
Khammam,June,6789,2021
Khammam,July,1234,2022
Khammam,August,8901,2022
Khammam,September,4567,2022
Khammam,October,2345,2023
Khammam,November,7890,2023
Khammam,December,5432,2023
Komaram Bheem Asifabad,January,9876,2020
Komaram Bheem Asifabad,February,6543,2020
Komaram Bheem Asifabad,March,3210,2020
Komaram Bheem Asifabad,April,8765,2021
Komaram Bheem Asifabad,May,4321,2021
Komaram Bheem Asifabad,June,1987,2021
Komaram Bheem Asifabad,July,6543,2022
Komaram Bheem Asifabad,August,3210,2022
Komaram Bheem Asifabad,September,8765,2022
Komaram Bheem Asifabad,October,4321,2023
Komaram Bheem Asifabad,November,1987,2023
Komaram Bheem Asifabad,December,6543,2023
Mahabubabad,January,3210,2020
Mahabubabad,February,8765,2020
Mahabubabad,March,4321,2020
Mahabubabad,April,1987,2021
Mahabubabad,May,6543,2021
Mahabubabad,June,3210,2021
Mahabubabad,July,8765,2022
Mahabubabad,August,4321,2022
Mahabubabad,September,1987,2022
Mahabubabad,October,6543,2023
Mahabubabad,November,3210,2023
Mahabubabad,December,8765,2023
Mahbubnagar,January,45,2020
Mahbubnagar,February,29,2020
Mahbubnagar,March,4321,2020
Mahbubnagar,April,1987,2021
Mahbubnagar,May,6543,2021
Mahbubnagar,June,3210,2021
Mahbubnagar,July,8765,2022
Mahbubnagar,August,4321,2022
Mahbubnagar,September,1987,2022
Mahbubnagar,October,6543,2023
Mahbubnagar,November,3210,2023
Mahbubnagar,December,8765,2023
Mancherial,January,4321,2020
Mancherial,February,1987,2020
Mancherial,March,6543,2020
Mancherial,April,3210,2021
Mancherial,May,8765,2021
Mancherial,June,4321,2021
Mancherial,July,1987,2022
Mancherial,August,6543,2022
Mancherial,September,3210,2022
Mancherial,October,8765,2023
Mancherial,November,4321,2023
Mancherial,December,1987,2023
Medak,January,6543,2020
Medak,February,3210,2020
Medak,March,8765,2020
Medak,April,4321,2021
Medak,May,1987,2021
Medak,June,6543,2021
Medak,July,3210,2022
Medak,August,8765,2022
Medak,September,4321,2022
Medak,October,1987,2023
Medak,November,6543,2023
Medak,December,3210,2023
Medchal,January,8765,2020
Medchal,February,4321,2020
Medchal,March,1987,2020
Medchal,April,6543,2021
Medchal,May,3210,2021
Medchal,June,8765,2021
Medchal,July,4321,2022
Medchal,August,1987,2022
Medchal,September,6543,2022
Medchal,October,3210,2023
Medchal,November,8765,2023
Medchal,December,4321,2023
Mulugu,January,70,2020
Mulugu,February,60,2020
Mulugu,March,15,2020
Mulugu,April,1987,2021
Mulugu,May,6543,2021
Mulugu,June,3210,2021
Mulugu,July,8765,2022
Mulugu,August,4321,2022
Mulugu,September,1987,2022
Mulugu,October,6543,2023
Mulugu,November,3210,2023
Mulugu,December,8765,2023
Nagarkurnool,January,35,2020
Nagarkurnool,February,15,2020
Nagarkurnool,March,4321,2020
Nagarkurnool,April,1987,2021
Nagarkurnool,May,6543,2021
Nagarkurnool,June,3210,2021
Nagarkurnool,July,8765,2022
Nagarkurnool,August,4321,2022
Nagarkurnool,September,1987,2022
Nagarkurnool,October,6543,2023
Nagarkurnool,November,3210,2023
Nagarkurnool,December,8765,2023
Nalgonda,January,4321,2020
Nalgonda,February,1987,2020
Nalgonda,March,6543,2020
Nalgonda,April,3210,2021
Nalgonda,May,8765,2021
Nalgonda,June,4321,2021
Nalgonda,July,1987,2022
Nalgonda,August,6543,2022
Nalgonda,September,3210,2022
Nalgonda,October,8765,2023
Nalgonda,November,4321,2023
Nalgonda,December,1987,2023
Narayanpet,January,6543,2020
Narayanpet,February,3210,2020
Narayanpet,March,8765,2020
Narayanpet,April,4321,2021
Narayanpet,May,1987,2021
Narayanpet,June,6543,2021
Narayanpet,July,3210,2022
Narayanpet,August,8765,2022
Narayanpet,September,4321,2022
Narayanpet,October,1987,2023
Narayanpet,November,6543,2023
Narayanpet,December,3210,2023
Nirmal,January,8765,2020
Nirmal,February,4321,2020
Nirmal,March,1987,2020
Nirmal,April,6543,2021
Nirmal,May,3210,2021
Nirmal,June,8765,2021
Nirmal,July,4321,2022
Nirmal,August,1987,2022
Nirmal,September,6543,2022
Nirmal,October,3210,2023
Nirmal,November,8765,2023
Nirmal,December,4321,2023
Nizamabad,January,1987,2020
Nizamabad,February,6543,2020
Nizamabad,March,3210,2020
Nizamabad,April,8765,2021
Nizamabad,May,4321,2021
Nizamabad,June,1987,2021
Nizamabad,July,6543,2022
Nizamabad,August,3210,2022
Nizamabad,September,8765,2022
Nizamabad,October,4321,2023
Nizamabad,November,1987,2023
Nizamabad,December,6543,2023
Peddapalli,January,3210,2020
Peddapalli,February,8765,2020
Peddapalli,March,4321,2020
Peddapalli,April,1987,2021
Peddapalli,May,6543,2021
Peddapalli,June,3210,2021
Peddapalli,July,8765,2022
Peddapalli,August,4321,2022
Peddapalli,September,1987,2022
Peddapalli,October,6543,2023
Peddapalli,November,3210,2023
Peddapalli,December,8765,2023
Rajanna Sircilla,January,4321,2020
Rajanna Sircilla,February,1987,2020
Rajanna Sircilla,March,6543,2020
Rajanna Sircilla,April,3210,2021
Rajanna Sircilla,May,8765,2021
Rajanna Sircilla,June,4321,2021
Rajanna Sircilla,July,1987,2022
Rajanna Sircilla,August,6543,2022
Rajanna Sircilla,September,3210,2022
Rajanna Sircilla,October,8765,2023
Rajanna Sircilla,November,4321,2023
Rajanna Sircilla,December,1987,2023
Ranga Reddy,January,1601,2020
Ranga Reddy,February,9229,2020
Ranga Reddy,March,8517,2020
Ranga Reddy,April,8634,2021
Ranga Reddy,May,4790,2021
Ranga Reddy,June,5475,2021
Ranga Reddy,July,1779,2022
Ranga Reddy,August,2006,2022
Ranga Reddy,September,8468,2022
Ranga Reddy,October,1377,2023
Ranga Reddy,November,3901,2023
Ranga Reddy,December,2337,2023
Sangareddy,January,6543,2020
Sangareddy,February,3210,2020
Sangareddy,March,8765,2020
Sangareddy,April,4321,2021
Sangareddy,May,1987,2021
Sangareddy,June,6543,2021
Sangareddy,July,3210,2022
Sangareddy,August,8765,2022
Sangareddy,September,4321,2022
Sangareddy,October,1987,2023
Sangareddy,November,6543,2023
Sangareddy,December,3210,2023
Siddipet,January,8765,2020
Siddipet,February,4321,2020
Siddipet,March,1987,2020
Siddipet,April,6543,2021
Siddipet,May,3210,2021
Siddipet,June,8765,2021
Siddipet,July,4321,2022
Siddipet,August,1987,2022
Siddipet,September,6543,2022
Siddipet,October,3210,2023
Siddipet,November,8765,2023
Siddipet,December,4321,2023
Suryapet,January,1987,2020
Suryapet,February,6543,2020
Suryapet,March,3210,2020
Suryapet,April,8765,2021
Suryapet,May,4321,2021
Suryapet,June,1987,2021
Suryapet,July,6543,2022
Suryapet,August,3210,2022
Suryapet,September,8765,2022
Suryapet,October,4321,2023
Suryapet,November,1987,2023
Suryapet,December,6543,2023
Vikarabad,January,6728,2020
Vikarabad,February,2729,2020
Vikarabad,March,3991,2020
Vikarabad,April,3202,2021
Vikarabad,May,2767,2021
Vikarabad,June,1612,2021
Vikarabad,July,8459,2022
Vikarabad,August,9574,2022
Vikarabad,September,2022,2022
Vikarabad,October,6618,2023
Vikarabad,November,4339,2023
Vikarabad,December,8789,2023
Wanaparthy,January,3210,2020
Wanaparthy,February,8765,2020
Wanaparthy,March,4321,2020
Wanaparthy,April,1987,2021
Wanaparthy,May,6543,2021
Wanaparthy,June,3210,2021
Wanaparthy,July,8765,2022
Wanaparthy,August,4321,2022
Wanaparthy,September,1987,2022
Wanaparthy,October,6543,2023
Wanaparthy,November,3210,2023
Wanaparthy,December,8765,2023
Warangal (Rural),January,4321,2020
Warangal (Rural),February,1987,2020
Warangal (Rural),March,6543,2020
Warangal (Rural),April,3210,2021
Warangal (Rural),May,8765,2021
Warangal (Rural),June,4321,2021
Warangal (Rural),July,1987,2022
Warangal (Rural),August,6543,2022
Warangal (Rural),September,3210,2022
Warangal (Rural),October,8765,2023
Warangal (Rural),November,4321,2023
Warangal (Rural),December,1987,2023
Warangal (Urban),January,225,2020
Warangal (Urban),February,225,2020
Warangal (Urban),March,80,2020
Warangal (Urban),April,6543,2021
Warangal (Urban),May,3210,2021
Warangal (Urban),June,8765,2021
Warangal (Urban),July,4321,2022
Warangal (Urban),August,1987,2022
Warangal (Urban),September,6543,2022
Warangal (Urban),October,3210,2023
Warangal (Urban),November,8765,2023
Warangal (Urban),December,4321,2023
Yadadri Bhongir,January,1987,2020
Yadadri Bhongir,February,6543,2020
Yadadri Bhongir,March,3210,2020
Yadadri Bhongir,April,8765,2021
Yadadri Bhongir,May,4321,2021
Yadadri Bhongir,June,1987,2021
Yadadri Bhongir,July,6543,2022
Yadadri Bhongir,August,3210,2022
Yadadri Bhongir,September,8765,2022
Yadadri Bhongir,October,4321,2023
Yadadri Bhongir,November,1987,2023
Yadadri Bhongir,December,6543,2023
Adilabad,January,3210,2020
Adilabad,February,8765,2020
Adilabad,March,4321,2020
Adilabad,April,1987,2021
Adilabad,May,6543,2021
Adilabad,June,3210,2021
Adilabad,July,8765,2022
Adilabad,August,4321,2022
Adilabad,September,1987,2022
Adilabad,October,6543,2023
Adilabad,November,3210,2023
Adilabad,December,8765,2023
Bhadradri Kothagudem,January,4321,2020
Bhadradri Kothagudem,February,1987,2020
Bhadradri Kothagudem,March,6543,2020
Bhadradri Kothagudem,April,3210,2021
Bhadradri Kothagudem,May,8765,2021
Bhadradri Kothagudem,June,4321,2021
Bhadradri Kothagudem,July,1987,2022
Bhadradri Kothagudem,August,6543,2022
Bhadradri Kothagudem,September,3210,2022
Bhadradri Kothagudem,October,8765,2023
Bhadradri Kothagudem,November,4321,2023
Bhadradri Kothagudem,December,1987,2023
Hanumakonda,January,6543,2020
Hanumakonda,February,3210,2020
Hanumakonda,March,80,2020
Hanumakonda,April,5,2021
Hanumakonda,May,8765,2021
Hanumakonda,June,4321,2021
Hanumakonda,July,1987,2022
Hanumakonda,August,3,2022
Hanumakonda,September,5,2022
Hanumakonda,October,5,2023
Hanumakonda,November,8,2023
Hanumakonda,December,6,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,758,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,814,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,294,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,90,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,158,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,79,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,131,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,169,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,343,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,931,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,758,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,1220,2023
Jagtial,January,6543,2020
Jagtial,February,3210,2020
Jagtial,March,8765,2020
Jagtial,April,4321,2021
Jagtial,May,1987,2021
Jagtial,June,6543,2021
Jagtial,July,3210,2022
Jagtial,August,8765,2022
Jagtial,September,4321,2022
Jagtial,October,1987,2023
Jagtial,November,6543,2023
Jagtial,December,3210,2023
Jangaon,January,8765,2020
Jangaon,February,4321,2020
Jangaon,March,1987,2020
Jangaon,April,6543,2021
Jangaon,May,3210,2021
Jangaon,June,8765,2021
Jangaon,July,4321,2022
Jangaon,August,1987,2022
Jangaon,September,6543,2022
Jangaon,October,3210,2023
Jangaon,November,8765,2023
Jangaon,December,4321,2023
Jayashankar Bhoopalpally,January,1987,2020
Jayashankar Bhoopalpally,February,6543,2020
Jayashankar Bhoopalpally,March,3210,2020
Jayashankar Bhoopalpally,April,8765,2021
Jayashankar Bhoopalpally,May,4321,2021
Jayashankar Bhoopalpally,June,1987,2021
Jayashankar Bhoopalpally,July,6543,2022
Jayashankar Bhoopalpally,August,3210,2022
Jayashankar Bhoopalpally,September,8765,2022
Jayashankar Bhoopalpally,October,4321,2023
Jayashankar Bhoopalpally,November,1987,2023
Jayashankar Bhoopalpally,December,6543,2023
Jogulamba Gadwal,January,3210,2020
Jogulamba Gadwal,February,8765,2020
Jogulamba Gadwal,March,4321,2020
Jogulamba Gadwal,April,1987,2021
Jogulamba Gadwal,May,6543,2021
Jogulamba Gadwal,June,3210,2021
Jogulamba Gadwal,July,8765,2022
Jogulamba Gadwal,August,4321,2022
Jogulamba Gadwal,September,1987,2022
Jogulamba Gadwal,October,6543,2023
Jogulamba Gadwal,November,3210,2023
Jogulamba Gadwal,December,8765,2023
Kamareddy,January,4321,2020
Kamareddy,February,1987,2020
Kamareddy,March,6543,2020
Kamareddy,April,3210,2021
Kamareddy,May,8765,2021
Kamareddy,June,4321,2021
Kamareddy,July,1987,2022
Kamareddy,August,6543,2022
Kamareddy,September,3210,2022
Kamareddy,October,8765,2023
Kamareddy,November,4321,2023
Kamareddy,December,1987,2023
Karimnagar,January,6543,2020
Karimnagar,February,3210,2020
Karimnagar,March,8765,2020
Karimnagar,April,4321,2021
Karimnagar,May,1987,2021
Karimnagar,June,6543,2021
Karimnagar,July,3210,2022
Karimnagar,August,8765,2022
Karimnagar,September,4321,2022
Karimnagar,October,1987,2023
Karimnagar,November,6543,2023
Karimnagar,December,3210,2023
Khammam,January,8765,2020
Khammam,February,4321,2020
Khammam,March,1987,2020
Khammam,April,6543,2021
Khammam,May,3210,2021
Khammam,June,8765,2021
Khammam,July,4321,2022
Khammam,August,1987,2022
Khammam,September,6543,2022
Khammam,October,3210,2023
Khammam,November,8765,2023
Khammam,December,4321,2023
Komaram Bheem Asifabad,January,1987,2020
Komaram Bheem Asifabad,February,6543,2020
Komaram Bheem Asifabad,March,3210,2020
Komaram Bheem Asifabad,April,8765,2021
Komaram Bheem Asifabad,May,4321,2021
Komaram Bheem Asifabad,June,1987,2021
Komaram Bheem Asifabad,July,6543,2022
Komaram Bheem Asifabad,August,3210,2022
Komaram Bheem Asifabad,September,8765,2022
Komaram Bheem Asifabad,October,4321,2023
Komaram Bheem Asifabad,November,1987,2023
Komaram Bheem Asifabad,December,6543,2023
Mahabubabad,January,3210,2020
Mahabubabad,February,8765,2020
Mahabubabad,March,4321,2020
Mahabubabad,April,1987,2021
Mahabubabad,May,6543,2021
Mahabubabad,June,3210,2021
Mahabubabad,July,8765,2022
Mahabubabad,August,4321,2022
Mahabubabad,September,1987,2022
Mahabubabad,October,6543,2023
Mahabubabad,November,3210,2023
Mahabubabad,December,8765,2023
Mahabubnagar,January,4321,2020
Mahabubnagar,February,1987,2020
Mahabubnagar,March,6543,2020
Mahabubnagar,April,3210,2021
Mahabubnagar,May,8765,2021
Mahabubnagar,June,4321,2021
Mahabubnagar,July,1987,2022
Mahabubnagar,August,6543,2022
Mahabubnagar,September,3210,2022
Mahabubnagar,October,8765,2023
Mahabubnagar,November,4321,2023
Mahabubnagar,December,1987,2023
Mancherial,January,6543,2020
Mancherial,February,3210,2020
Mancherial,March,8765,2020
Mancherial,April,4321,2021
Mancherial,May,1987,2021
Mancherial,June,6543,2021
Mancherial,July,3210,2022
Mancherial,August,8765,2022
Mancherial,September,4321,2022
Mancherial,October,1987,2023
Mancherial,November,6543,2023
Mancherial,December,3210,2023
Medak,January,8765,2020
Medak,February,4321,2020
Medak,March,1987,2020
Medak,April,6543,2021
Medak,May,3210,2021
Medak,June,8765,2021
Medak,July,4321,2022
Medak,August,1987,2022
Medak,September,6543,2022
Medak,October,3210,2023
Medak,November,8765,2023
Medak,December,4321,2023
Mulugu,January,1987,2020
Mulugu,February,6543,2020
Mulugu,March,15,2020
Mulugu,April,3210,2021
Mulugu,May,8765,2021
Mulugu,June,4321,2021
Mulugu,July,1987,2022
Mulugu,August,8,2022
Mulugu,September,8,2022
Mulugu,October,10,2023
Mulugu,November,9,2023
Mulugu,December,10,2023
Nagarkurnool,January,6543,2020
Nagarkurnool,February,3210,2020
Nagarkurnool,March,8765,2020
Nagarkurnool,April,4321,2021
Nagarkurnool,May,1987,2021
Nagarkurnool,June,6543,2021
Nagarkurnool,July,3210,2022
Nagarkurnool,August,8765,2022
Nagarkurnool,September,4321,2022
Nagarkurnool,October,1987,2023
Nagarkurnool,November,6543,2023
Nagarkurnool,December,3210,2023
Nalgonda,January,8765,2020
Nalgonda,February,4321,2020
Nalgonda,March,1987,2020
Nalgonda,April,6543,2021
Nalgonda,May,3210,2021
Nalgonda,June,8765,2021
Nalgonda,July,4321,2022
Nalgonda,August,1987,2022
Nalgonda,September,6543,2022
Nalgonda,October,3210,2023
Nalgonda,November,8765,2023
Nalgonda,December,4321,2023
Narayanpet,January,1987,2020
Narayanpet,February,6543,2020
Narayanpet,March,3210,2020
Narayanpet,April,8765,2021
Narayanpet,May,4321,2021
Narayanpet,June,1987,2021
Narayanpet,July,6543,2022
Narayanpet,August,3210,2022
Narayanpet,September,8765,2022
Narayanpet,October,4321,2023
Narayanpet,November,1987,2023
Narayanpet,December,6543,2023
Nirmal,January,3210,2020
Nirmal,February,8765,2020
Nirmal,March,4321,2020
Nirmal,April,1987,2021
Nirmal,May,6543,2021
Nirmal,June,3210,2021
Nirmal,July,8765,2022
Nirmal,August,4321,2022
Nirmal,September,1987,2022
Nirmal,October,6543,2023
Nirmal,November,3210,2023
Nirmal,December,8765,2023
Nizamabad,January,4321,2020
Nizamabad,February,1987,2020
Nizamabad,March,6543,2020
Nizamabad,April,3210,2021
Nizamabad,May,8765,2021
Nizamabad,June,4321,2021
Nizamabad,July,1987,2022
Nizamabad,August,6543,2022
Nizamabad,September,3210,2022
Nizamabad,October,8765,2023
Nizamabad,November,4321,2023
Nizamabad,December,1987,2023
Peddapalli,January,6543,2020
Peddapalli,February,3210,2020
Peddapalli,March,8765,2020
Peddapalli,April,4321,2021
Peddapalli,May,1987,2021
Peddapalli,June,6543,2021
Peddapalli,July,3210,2022
Peddapalli,August,8765,2022
Peddapalli,September,4321,2022
Peddapalli,October,1987,2023
Peddapalli,November,6543,2023
Peddapalli,December,3210,2023
Rajanna Sircilla,January,8765,2020
Rajanna Sircilla,February,4321,2020
Rajanna Sircilla,March,1987,2020
Rajanna Sircilla,April,6543,2021
Rajanna Sircilla,May,3210,2021
Rajanna Sircilla,June,8765,2021
Rajanna Sircilla,July,4321,2022
Rajanna Sircilla,August,1987,2022
Rajanna Sircilla,September,6543,2022
Rajanna Sircilla,October,3210,2023
Rajanna Sircilla,November,8765,2023
Rajanna Sircilla,December,4321,2023
Sangareddy,January,1987,2020
Sangareddy,February,6543,2020
Sangareddy,March,3210,2020
Sangareddy,April,8765,2021
Sangareddy,May,4321,2021
Sangareddy,June,1987,2021
Sangareddy,July,6543,2022
Sangareddy,August,3210,2022
Sangareddy,September,8765,2022
Sangareddy,October,4321,2023
Sangareddy,November,1987,2023
Sangareddy,December,6543,2023
Siddipet,January,3210,2020
Siddipet,February,8765,2020
Siddipet,March,4321,2020
Siddipet,April,1987,2021
Siddipet,May,6543,2021
Siddipet,June,3210,2021
Siddipet,July,8765,2022
Siddipet,August,4321,2022
Siddipet,September,1987,2022
Siddipet,October,6543,2023
Siddipet,November,3210,2023
Siddipet,December,8765,2023
Suryapet,January,4321,2020
Suryapet,February,1987,2020
Suryapet,March,6543,2020
Suryapet,April,3210,2021
Suryapet,May,8765,2021
Suryapet,June,4321,2021
Suryapet,July,1987,2022
Suryapet,August,6543,2022
Suryapet,September,3210,2022
Suryapet,October,8765,2023
Suryapet,November,4321,2023
Suryapet,December,1987,2023
Wanaparthy,January,6543,2020
Wanaparthy,February,3210,2020
Wanaparthy,March,8765,2020
Wanaparthy,April,4321,2021
Wanaparthy,May,1987,2021
Wanaparthy,June,6543,2021
Wanaparthy,July,3210,2022
Wanaparthy,August,8765,2022
Wanaparthy,September,4321,2022
Wanaparthy,October,1987,2023
Wanaparthy,November,6543,2023
Wanaparthy,December,3210,2023
Warangal,January,8765,2020
Warangal,February,4321,2020
Warangal,March,1987,2020
Warangal,April,6543,2021
Warangal,May,3210,2021
Warangal,June,8765,2021
Warangal,July,4321,2022
Warangal,August,1987,2022
Warangal,September,6543,2022
Warangal,October,3210,2023
Warangal,November,8765,2023
Warangal,December,4321,2023
Yadadri Bhongir,January,1987,2020
Yadadri Bhongir,February,6543,2020
Yadadri Bhongir,March,3210,2020
Yadadri Bhongir,April,8765,2021
Yadadri Bhongir,May,4321,2021
Yadadri Bhongir,June,1987,2021
Yadadri Bhongir,July,6543,2022
Yadadri Bhongir,August,3210,2022
Yadadri Bhongir,September,8765,2022
Yadadri Bhongir,October,4321,2023
Yadadri Bhongir,November,1987,2023
Yadadri Bhongir,December,6543,2023
Adilabad,January,3210,2020
Adilabad,February,2,2020
Adilabad,March,8765,2020
Adilabad,April,4321,2021
Adilabad,May,1987,2021
Adilabad,June,6543,2021
Adilabad,July,3210,2022
Adilabad,August,8765,2022
Adilabad,September,4321,2022
Adilabad,October,1987,2023
Adilabad,November,6543,2023
Adilabad,December,3210,2023
Bhadradri Kothagudem,January,8765,2020
Bhadradri Kothagudem,February,4321,2020
Bhadradri Kothagudem,March,1987,2020
Bhadradri Kothagudem,April,6543,2021
Bhadradri Kothagudem,May,3210,2021
Bhadradri Kothagudem,June,8765,2021
Bhadradri Kothagudem,July,4321,2022
Bhadradri Kothagudem,August,1987,2022
Bhadradri Kothagudem,September,6543,2022
Bhadradri Kothagudem,October,3210,2023
Bhadradri Kothagudem,November,8765,2023
Bhadradri Kothagudem,December,4321,2023
Hunmakonda,January,8,2020
Hunmakonda,February,8,2020
Hunmakonda,March,8,2020
Hunmakonda,April,8,2021
Hunmakonda,May,7,2021
Hunmakonda,June,7,2021
Hunmakonda,July,9,2022
Hunmakonda,August,1987,2022
Hunmakonda,September,6543,2022
Hunmakonda,October,9,2023
Hunmakonda,November,3210,2023
Hunmakonda,December,8765,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,575,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,592,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,1907,2020
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,4959,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,7841,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,5241,2021
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,6972,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,13256,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,7828,2022
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,5206,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,4524,2023
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,9275,2023
Jagtial,January,4321,2020
Jagtial,February,1987,2020
Jagtial,March,6543,2020
Jagtial,April,3210,2021
Jagtial,May,8765,2021
Jagtial,June,4321,2021
Jagtial,July,1987,2022
Jagtial,August,6543,2022
Jagtial,September,3210,2022
Jagtial,October,8765,2023
Jagtial,November,4321,2023
Jagtial,December,1987,2023
Jangaon,January,6543,2020
Jangaon,February,3210,2020
Jangaon,March,8765,2020
Jangaon,April,4321,2021
Jangaon,May,1987,2021
Jangaon,June,6543,2021
Jangaon,July,3210,2022
Jangaon,August,8765,2022
Jangaon,September,4321,2022
Jangaon,October,1987,2023
Jangaon,November,6543,2023
Jangaon,December,3210,2023
Jayashankar Bhoopalpally,January,8765,2020
Jayashankar Bhoopalpally,February,4321,2020
Jayashankar Bhoopalpally,March,1987,2020
Jayashankar Bhoopalpally,April,6543,2021
Jayashankar Bhoopalpally,May,3210,2021
Jayashankar Bhoopalpally,June,8765,2021
Jayashankar Bhoopalpally,July,4321,2022
Jayashankar Bhoopalpally,August,1987,2022
Jayashankar Bhoopalpally,September,6543,2022
Jayashankar Bhoopalpally,October,3210,2023
Jayashankar Bhoopalpally,November,8765,2023
Jayashankar Bhoopalpally,December,4321,2023
Jogulamba Gadwal,January,1987,2020
Jogulamba Gadwal,February,6543,2020
Jogulamba Gadwal,March,3210,2020
Jogulamba Gadwal,April,8765,2021
Jogulamba Gadwal,May,4321,2021
Jogulamba Gadwal,June,1987,2021
